NAME,POSITION,GP,MPG,ORPM,DRPM,RPM,WINS
Yogi Ferrell, PG,46,26,-0.99,-1.21,-2.2,0.39
Jordan Crawford, SG,19,23.3,0.82,-2.48,-1.66,0.38
Hollis Thompson, SF,40,18.8,-0.82,-1.23,-2.05,0.38
DeAndre Liggins, SG,62,12.5,-3.13,0.76,-2.37,0.37
Sergio Rodriguez, PG,68,22.3,-0.66,-2.11,-2.77,0.35
Shaun Livingston, PG,76,17.7,-2.55,-0.19,-2.74,0.33
James Michael McAdoo, SF,52,8.8,-3.15,1.07,-2.08,0.31
KJ McDaniels, SG,49,10.3,-1.54,-0.68,-2.22,0.3
Trey Lyles, PF,71,16.3,-2.48,-0.23,-2.71,0.29
Thomas Robinson, PF,48,11.7,-1.68,-0.66,-2.34,0.28
Tyler Zeller, C,51,10.3,-2.5,0.2,-2.3,0.28
Okaro White, PF,35,13.5,-2.13,-0.03,-2.16,0.28
Fred VanVleet, PG,37,7.9,-2.44,0.83,-1.61,0.28
Sasha Vujacic, SG,42,9.7,-2.35,0.26,-2.09,0.27
Evan Turner, SG,65,25.5,-3.04,0.15,-2.89,0.25
Shelvin Mack, PG,55,21.9,-1.51,-1.28,-2.79,0.25
Miles Plumlee, C,45,10.8,-2.79,0.52,-2.27,0.25
Dante Exum, PG,66,18.6,-2.14,-0.65,-2.79,0.25
Adreian Payne, PF,18,7.5,-1.69,1.36,-0.33,0.24
James Jones, SG,48,7.9,-0.91,-1.27,-2.18,0.23
Rodney Stuckey, PG,39,17.8,-1.66,-0.91,-2.57,0.23
Omri Casspi, SF,36,17.9,-2.35,0.05,-2.3,0.22
Marshall Plumlee, C,21,8.1,-1.75,0.65,-1.1,0.22
Monta Ellis, SG,74,27,-1.32,-1.64,-2.96,0.21
Pat Connaughton, SG,39,8.1,-1.28,-0.79,-2.07,0.21
Chris Andersen, PF,12,9.5,-1.4,1.02,-0.38,0.2
Chasson Randle, PG,26,11.5,-0.74,-1.36,-2.1,0.2
Rakeem Christmas, PF,29,7.6,-2.2,0.5,-1.7,0.2
Kyle Singler, SF,32,12,-3.25,0.9,-2.35,0.19
Anthony Bennett, PF,23,11.5,-0.76,-1.29,-2.05,0.19
Malcolm Delaney, G,73,17.1,-2.64,-0.25,-2.89,0.18
Malik Beasley, SG,22,7.5,-1.74,0.21,-1.53,0.18
Nick Collison, PF,20,6.4,-2.18,1.12,-1.06,0.17
Brandon Bass, PF,52,11.1,-1.06,-1.59,-2.65,0.17
Joel Anthony, C,19,6.4,-2.41,1.44,-0.97,0.17
Ian Clark, SG,77,14.8,-1.08,-1.82,-2.9,0.17
Zach LaVine, PG,47,37.2,-0.62,-2.35,-2.97,0.17
Mike Miller, SG,20,7.6,-1.93,0.35,-1.58,0.16
AJ Hammons, C,22,7.4,-2.77,1.27,-1.5,0.16
Sheldon Mac, SG,30,9.6,-2.25,-0.08,-2.33,0.14
James Young, SG,29,7.6,-1.88,-0.28,-2.16,0.14
Gerald Green, SF,47,11.4,-1.27,-1.47,-2.74,0.13
Christian Wood, PF,13,8.2,-2.06,0.97,-1.09,0.13
Jose Calderon, PG,41,13.1,-2.4,-0.36,-2.76,0.12
Metta World Peace, SF,25,6.4,-2.61,0.53,-2.08,0.11
Treveon Graham, SG,27,7,-2.19,0.02,-2.17,0.11
Noah Vonleh, PF,74,17.1,-4.02,1.03,-2.99,0.11
Anderson Varejao, C,14,6.6,-1.74,0.65,-1.09,0.1
Jared Sullinger, C,11,10.7,-2.7,0.9,-1.8,0.1
Henry Ellenson, F,19,7.7,-2.32,0.38,-1.94,0.1
Udonis Haslem, PF,16,8.1,-2.79,0.73,-2.06,0.09
Tiago Splitter, C,8,9.5,-1.97,0.69,-1.28,0.09
Chris McCullough, PF,16,5,-1.58,0.18,-1.4,0.09
Malachi Richardson, SG,22,9,-2.29,-0.14,-2.43,0.09
Leandro Barbosa, SG,67,14.4,-1.5,-1.5,-3,0.08
Alonzo Gee, SF,13,6.8,-2.11,0.43,-1.68,0.08
Ryan Kelly, PF,16,6.9,-1.94,1.45,-0.49,0.08
Anthony Brown, SF,11,14.5,-1.42,-0.34,-1.76,0.08
Johnny O'Bryant III, PF,11,7.3,-1.92,0.3,-1.62,0.08
Georgios Papagiannis, C,22,16.1,-2.47,-0.3,-2.77,0.08
Joel Bolomboy, PF,12,4.4,-1.95,1.03,-0.92,0.07
Alex Poythress, SF,6,26.2,-1.91,-0.47,-2.38,0.07
Maurice Ndour, SF,32,10.3,-1.94,-0.37,-2.31,0.07
Damian Jones, F,10,8.5,-2.58,0.8,-1.78,0.07
Dejounte Murray, G,38,8.5,-1.97,-0.83,-2.8,0.07
Spencer Hawes, PF,54,14.8,-2.13,-0.87,-3,0.06
Josh McRoberts, PF,22,17.3,-2.87,-0.01,-2.88,0.06
Jordan Hill, C,7,6.7,-2.31,1.16,-1.15,0.06
Mike Scott, PF,18,10.8,-2.92,0.26,-2.66,0.06
Jarell Eddie, SG,5,12.4,-2.31,0.62,-1.69,0.06
Daniel Ochefu, PF,19,3.9,-2.35,0.55,-1.8,0.06
Kris Dunn, PG,78,17.1,-2.64,-0.41,-3.05,0.06
Wayne Selden, G,14,16.9,-2.44,-0.28,-2.72,0.06
Stephen Zimmerman, C,19,5.7,-2.79,0.57,-2.22,0.06
C.J. Watson, PG,62,16.3,-2.41,-0.64,-3.05,0.05
Ed Davis, PF,46,17.2,-2.96,-0.06,-3.02,0.05
Ramon Sessions, PG,50,16.2,-1.65,-1.4,-3.05,0.04
Josh Huestis, SF,2,15.5,-1.97,0.83,-1.14,0.04
Kyle Wiltjer, F,14,3.1,-2.54,0.57,-1.97,0.04
Nicolas Laprovittola, G,18,9.7,-1.52,-1.19,-2.71,0.04
Bruno Caboclo, SF,9,4.4,-1.76,0.11,-1.65,0.04
Chinanu Onuaku, F,5,10.4,-2.25,0.15,-2.1,0.04
Tim Quarterman, SG,16,5,-1.95,-0.4,-2.35,0.04
Boris Diaw, C,73,17.6,-2.58,-0.5,-3.08,0.03
Jarrett Jack, PG,2,16.5,-1.85,0.01,-1.84,0.03
Ronnie Price, PG,14,9.6,-2.24,-0.53,-2.77,0.03
Greivis Vasquez, PG,3,13,-1.77,-0.38,-2.15,0.03
Timofey Mozgov, C,54,20.4,-4.02,0.93,-3.09,0.03
Lamar Patterson, SG,5,8,-2.23,0.62,-1.61,0.03
Mike Tobey, C,2,12.5,-1.91,0.99,-0.92,0.03
Georges Niang, F,23,4,-2.99,0.37,-2.62,0.03
Jordan Mickey, PF,25,5.6,-2.62,-0.15,-2.77,0.03
Jerryd Bayless, PG,3,23.7,-2.23,-0.47,-2.7,0.02
Bobby Brown, PG,25,4.9,-1.69,-1.18,-2.87,0.02
Michael Gbinije, SG,9,3.6,-2.17,-0.17,-2.34,0.02
