NAME,POSITION,GP,MPG,ORPM,DRPM,RPM,WINS
LeBron James, SF,74,37.8,6.49,1.93,8.42,20.43
Stephen Curry, PG,79,33.4,7.27,0.14,7.41,18.8
Jimmy Butler, SG,76,37,4.82,1.8,6.62,17.35
Russell Westbrook, PG,81,34.6,6.74,-0.47,6.27,17.34
Draymond Green, PF,76,32.5,1.55,5.59,7.14,16.84
Rudy Gobert, C,81,33.9,0.35,6.02,6.37,15.55
James Harden, SG,81,36.4,6.38,-1.57,4.81,15.54
Kawhi Leonard, SF,74,33.4,5.83,1.25,7.08,15.53
Chris Paul, PG,61,31.5,5.16,2.76,7.92,13.48
Nikola Jokic, C,73,27.9,4.44,2.29,6.73,13.18
Giannis Antetokounmpo, SF,80,35.6,2.35,1.86,4.21,13
Anthony Davis, PF,75,36.1,0.45,3.9,4.35,12.81
Kyle Lowry, PG,60,37.4,4.7,1.18,5.88,12.67
DeAndre Jordan, C,81,31.7,1.11,3.44,4.55,12.59
Kevin Durant, SF,62,33.4,4.41,1.33,5.74,12.24
Paul Millsap, PF,69,34,1.23,3.35,4.58,11.51
DeMarcus Cousins, C,72,34.2,3.56,0.64,4.2,11.26
Otto Porter Jr., SF,80,32.6,3.12,0.44,3.56,11.21
Damian Lillard, PG,75,35.9,4.63,-1.49,3.14,10.72
Jae Crowder, SF,72,32.4,2.2,1.69,3.89,10.52
Mike Conley, PG,69,33.2,4.67,-0.2,4.47,10.5
Karl-Anthony Towns, C,82,37,3.54,-1.41,2.13,10
Kemba Walker, PG,79,34.7,3.93,-1.25,2.68,9.95
John Wall, PG,78,36.4,3.52,-1.26,2.26,9.9
Kevin Love, PF,60,31.4,2.77,2.26,5.03,9.76
Gorgui Dieng, PF,82,32.4,-0.8,3.52,2.72,9.73
Paul George, SF,75,35.9,2.67,-0.09,2.58,9.72
Klay Thompson, SG,78,34,2.78,-0.45,2.33,9.53
Gordon Hayward, SF,73,34.5,3.14,-0.08,3.06,9.45
Myles Turner, C,81,31.4,0.09,2.57,2.66,9.31
Trevor Ariza, SF,80,34.7,0.86,1.07,1.93,9.29
Bradley Beal, SG,77,34.9,3.29,-1.04,2.25,9.26
Robert Covington, SF,67,31.6,-0.77,4.32,3.55,9.23
Blake Griffin, PF,61,34,3.02,0.76,3.78,9.2
Andre Iguodala, SF,76,26.3,2.01,1.52,3.53,8.72
Ricky Rubio, PG,75,32.9,1.73,0.76,2.49,8.72
Marc Gasol, C,74,34.2,1.86,0.72,2.58,8.69
Danilo Gallinari, SF,63,33.9,2.67,0.21,2.88,8.39
Kyrie Irving, PG,72,35.1,4.35,-2.3,2.05,8.28
Isaiah Thomas, PG,76,33.8,5.72,-3.89,1.83,8.19
Hassan Whiteside, C,77,32.6,-0.69,2.72,2.03,8.15
Jeff Teague, PG,82,32.4,1.86,-0.22,1.64,8.08
Markieff Morris, PF,76,31.2,-0.55,2.41,1.86,7.61
Brook Lopez, C,75,29.6,1.4,0.55,1.95,7.59
Patrick Beverley, PG,67,30.7,1.11,1.37,2.48,7.56
CJ McCollum, SG,80,35,3.01,-1.87,1.14,7.52
James Johnson, PF,76,27.4,0.42,1.94,2.36,7.31
Amir Johnson, PF,80,20.1,0.22,3.58,3.8,7.02
