title,productionCompanies,distributors,releaseDate
Sully,"Malpaso Productions,FilmNation Entertainment,Flashlight Films,Warner Bros. Pictures,RatPac-Dune Entertainment,The Kennedy/Marshall Company",Warner Bros. Pictures,9/9/16
Brother Nature,"BIL Productions, LLC,Broadway Video",Samuel Goldwyn Films,9/9/16
Author: The JT LeRoy Story,,Magnolia Pictures,9/9/16
Dancer,,IFC Films,9/9/16
The Disappointments Room,Relativity Media,Relativity,9/9/16
The Magnificent Seven,"Escape Artists,Columbia Pictures,Village Roadshow Pictures,LStar Capital,Pin High Productions,Metro-Goldwyn-Mayer",Sony Pictures,9/14/16
Bridget Jones's Baby,"Working Title Films,Perfect World Pictures,StudioCanal,Universal Pictures,Miramax",N/A,9/16/16
Hillsong: Let Hope Rise,,Pure Flix,9/16/16
Snowden,"KrautPack Entertainment,Vendian Entertainment,Endgame Entertainment",Open Road,9/16/16
Blair Witch,"Vertigo Entertainment,Lionsgate,Room 101,Snoot Entertainment",Lionsgate Films,9/16/16
The Lovers and the Despot,"Hellflower Films,Tigerlily Films,Atnine Film",Magnolia Pictures,9/23/16
The Dressmaker,"White Hot Productions,Screen Australia,Ingenious Senior Film Fund,Film Art Media,Embankment Films",Amazon Studios,9/23/16
Queen of Katwe,"Cine Mosaic,Mirabai Films",Walt Disney,9/23/16
Storks,"Warner Bros. Animation,RatPac-Dune Entertainment,Warner Animation Group,Warner Bros. Pictures",Warner Bros. Pictures,9/23/16
Masterminds,"Broadway Video,Relativity Media,Surefire Entertainment Capital,Michaels-Goldwyn",Relativity,9/29/16
Pet,"Revolver Picture Company,Magic Lantern",Samuel Goldwyn Films,9/30/16
American Honey,"British Film Institute,Maven Pictures,Film4 Productions",A24,9/30/16
