title,productionCompanies,distributors,releaseDate
Harry Benson: Shoot First,,Magnolia Pictures,12/9/16
La La Land,"Summit Entertainment,Black Label Media,Gilbert Films,Impostor Pictures,Marc Platt Productions",Lionsgate Films,12/9/16
A Kind of Murder,Killer Films,Magnolia Pictures,12/16/16
Fences,"Paramount,Scott Rudin Productions,MACRO,Bron Studios,Escape Artists",Paramount Pictures,12/16/16
Collateral Beauty,"Village Roadshow Pictures,Likely Story,Anonymous Content,New Line Cinema,PalmStar Media,Overbrook Entertainment",Warner Bros. Pictures,12/16/16
Rogue One: A Star Wars Story,"Lucasfilm,Walt Disney Pictures,Allison Shearmur Productions,Pinewood Studios,Black Hangar Studios,Truenorth Productions",Walt Disney,12/16/16
Patriots Day,"TIK Films,CBS Films,Closest to the Hole Productions,Bluegrass Films,Hutch Parker Entertainment,Leverage",Lionsgate Films,12/21/16
The Autopsy of Jane Doe,"IM Global,Impostor Pictures,42",IFC Films,12/21/16
Passengers,"Wanda Pictures,Columbia Pictures,Village Roadshow Pictures,Original Film,Company Films,Start Motion Pictures,LStar Capital",Sony Pictures,12/21/16
Assassin's Creed,"New Regency Pictures,Regency Enterprises,The Kennedy/Marshall Company,Ubisoft,CatchPlay,Latina Pictures,Monarchy Enterprises S.a.r.l.,Ubisoft Motion Pictures,DMC Film,Alpha Pictures,RatPac-Dune Entertainment",20th Century Fox,12/21/16
The Silence,"Kino Produzioni,Filmo",Paramount Pictures,12/23/16
Why Him?,"21 Laps Entertainment,TSG Entertainment,20th Century Fox,Red Hour",20th Century Fox,12/23/16
A Monster Calls,"River Road Entertainment,Participant Media,Apaches Entertainment,La Trini,A Monster Calls AIE,Telecinco Cinema",Focus Features,12/23/16
Resident Evil: The Final Chapter,"Screen Gems,Constantin Film,Davis Films,Impact Pictures",Sony Pictures,12/23/16
Live by Night,"Appian Way,Pearl Street Films,Warner Bros. Pictures",Warner Bros. Pictures,12/25/16
Hidden Figures,"Fox 2000 Pictures,Levantine Films,Chernin Entertainment",20th Century Fox,12/25/16
Paterson,"Inkjet Productions,Amazon Studios,K5 Film,Animal Kingdom",Amazon Studios,12/28/16
20th Century Women,"Annapurna Pictures,Archer Gray,Modern People",A24,12/28/16
